yearID,franchid_1,franchid_2,abs_difference,W1,W2,L1,L2
1873,BLC,PWS,2,34,36,22,17
1873,BLC,WBL,26,34,8,22,31
1873,MAR,BLC,34,0,34,6,22
1873,MAR,MAR,0,0,0,6,6
1873,MAR,BRA,17,0,17,6,37
1873,MAR,BNA,43,0,43,6,16
1873,MAR,RES,2,0,2,6,21
1873,MAR,NNA,29,0,29,6,24
1873,MAR,PNA,28,0,28,6,23
1873,MAR,PWS,36,0,36,6,17
1873,MAR,WBL,8,0,8,6,31
1873,BRA,BLC,17,17,34,37,22
1873,BRA,MAR,17,17,0,37,6
1873,BRA,BRA,0,17,17,37,37
1873,BRA,BNA,26,17,43,37,16
1873,BRA,RES,15,17,2,37,21
1873,BRA,NNA,12,17,29,37,24
1873,BRA,PNA,11,17,28,37,23
1873,BRA,PWS,19,17,36,37,17
1873,BRA,WBL,9,17,8,37,31
1873,BNA,BLC,9,43,34,16,22
1873,BNA,MAR,43,43,0,16,6
1873,BNA,BRA,26,43,17,16,37
1873,BNA,BNA,0,43,43,16,16
1873,BNA,RES,41,43,2,16,21
1873,BNA,NNA,14,43,29,16,24
1873,BNA,PNA,15,43,28,16,23
1873,BNA,PWS,7,43,36,16,17
1873,BNA,WBL,35,43,8,16,31
1873,RES,BLC,32,2,34,21,22
1873,RES,MAR,2,2,0,21,6
1873,RES,BRA,15,2,17,21,37
1873,RES,BNA,41,2,43,21,16
1873,RES,RES,0,2,2,21,21
1873,RES,NNA,27,2,29,21,24
1873,RES,PNA,26,2,28,21,23
1873,RES,PWS,34,2,36,21,17
1873,RES,WBL,6,2,8,21,31
1873,NNA,BLC,5,29,34,24,22
1873,NNA,MAR,29,29,0,24,6
1873,NNA,BRA,12,29,17,24,37
1873,NNA,BNA,14,29,43,24,16
1873,NNA,RES,27,29,2,24,21
1873,NNA,NNA,0,29,29,24,24
1873,NNA,PNA,1,29,28,24,23
1873,NNA,PWS,7,29,36,24,17
1873,NNA,WBL,21,29,8,24,31
1873,PNA,BLC,6,28,34,23,22
1873,PNA,MAR,28,28,0,23,6
1873,PNA,BRA,11,28,17,23,37
1873,PNA,BNA,15,28,43,23,16
1873,PNA,RES,26,28,2,23,21
1873,PNA,NNA,1,28,29,23,24
1873,PNA,PNA,0,28,28,23,23
1873,PNA,PWS,8,28,36,23,17
1873,PNA,WBL,20,28,8,23,31
1873,PWS,BLC,2,36,34,17,22
1873,PWS,MAR,36,36,0,17,6
1873,PWS,BRA,19,36,17,17,37
1873,PWS,BNA,7,36,43,17,16
1873,PWS,RES,34,36,2,17,21
1873,PWS,NNA,7,36,29,17,24
1873,PWS,PNA,8,36,28,17,23
1873,PWS,PWS,0,36,36,17,17
1873,PWS,WBL,28,36,8,17,31
1873,WBL,BLC,26,8,34,31,22
1873,WBL,MAR,8,8,0,31,6
1873,WBL,BRA,9,8,17,31,37
1873,WBL,BNA,35,8,43,31,16
1873,WBL,RES,6,8,2,31,21
1873,WBL,NNA,21,8,29,31,24
1873,WBL,PNA,20,8,28,31,23
1873,WBL,PWS,28,8,36,31,17
1873,WBL,WBL,0,8,8,31,31
1874,BLC,BLC,0,9,9,38,38
1874,BLC,BRA,13,9,22,38,33
1874,BLC,BNA,43,9,52,38,18
1874,BLC,CNA,19,9,28,38,31
1874,BLC,HNA,7,9,16,38,37
1874,BLC,NNA,33,9,42,38,23
1874,BLC,PNA,24,9,33,38,22
1874,BLC,PWS,20,9,29,38,29
1874,BRA,BLC,13,22,9,33,38
1874,BRA,BRA,0,22,22,33,33
1874,BRA,BNA,30,22,52,33,18
1874,BRA,CNA,6,22,28,33,31
1874,BRA,HNA,6,22,16,33,37
1874,BRA,NNA,20,22,42,33,23
1874,BRA,PNA,11,22,33,33,22
1874,BRA,PWS,7,22,29,33,29
1874,BNA,BLC,43,52,9,18,38
1874,BNA,BRA,30,52,22,18,33
1874,BNA,BNA,0,52,52,18,18
1874,BNA,CNA,24,52,28,18,31
1874,BNA,HNA,36,52,16,18,37
1874,BNA,NNA,10,52,42,18,23
1874,BNA,PNA,19,52,33,18,22
1874,BNA,PWS,23,52,29,18,29
1874,CNA,BLC,19,28,9,31,38
1874,CNA,BRA,6,28,22,31,33
1874,CNA,BNA,24,28,52,31,18
1874,CNA,CNA,0,28,28,31,31
1874,CNA,HNA,12,28,16,31,37
1874,CNA,NNA,14,28,42,31,23
1874,CNA,PNA,5,28,33,31,22
1874,CNA,PWS,1,28,29,31,29
1874,HNA,BLC,7,16,9,37,38
1874,HNA,BRA,6,16,22,37,33
1874,HNA,BNA,36,16,52,37,18
1874,HNA,CNA,12,16,28,37,31
1874,HNA,HNA,0,16,16,37,37
1874,HNA,NNA,26,16,42,37,23
1874,HNA,PNA,17,16,33,37,22
1874,HNA,PWS,13,16,29,37,29
1874,NNA,BLC,33,42,9,23,38
1874,NNA,BRA,20,42,22,23,33
1874,NNA,BNA,10,42,52,23,18
1874,NNA,CNA,14,42,28,23,31
1874,NNA,HNA,26,42,16,23,37
1874,NNA,NNA,0,42,42,23,23
1874,NNA,PNA,9,42,33,23,22
1874,NNA,PWS,13,42,29,23,29
1874,PNA,BLC,24,33,9,22,38
1874,PNA,BRA,11,33,22,22,33
1874,PNA,BNA,19,33,52,22,18
1874,PNA,CNA,5,33,28,22,31
1874,PNA,HNA,17,33,16,22,37
1874,PNA,NNA,9,33,42,22,23
1874,PNA,PNA,0,33,33,22,22
1874,PNA,PWS,4,33,29,22,29
1874,PWS,BLC,20,29,9,29,38
1874,PWS,BRA,7,29,22,29,33
1874,PWS,BNA,23,29,52,29,18
1874,PWS,CNA,1,29,28,29,31
1874,PWS,HNA,13,29,16,29,37
1874,PWS,NNA,13,29,42,29,23
1874,PWS,PNA,4,29,33,29,22
1874,PWS,PWS,0,29,29,29,29
1875,BRA,BRA,0,2,2,42,42
1875,BRA,BNA,69,2,71,42,8
1875,BRA,CNA,28,2,30,42,37
1875,BRA,HNA,52,2,54,42,28
1875,BRA,WES,1,2,1,42,12
1875,BRA,NHV,5,2,7,42,40
1875,BRA,NNA,28,2,30,42,38
1875,BRA,PNA,51,2,53,42,20
1875,BRA,PWS,35,2,37,42,31
1875,BRA,CEN,0,2,2,42,12
1875,BRA,SLR,2,2,4,42,15
1875,BRA,SNA,37,2,39,42,29
1875,BRA,WNT,3,2,5,42,23
1875,BNA,BRA,69,71,2,8,42
1875,BNA,BNA,0,71,71,8,8
1875,BNA,CNA,41,71,30,8,37
1875,BNA,HNA,17,71,54,8,28
1875,BNA,WES,70,71,1,8,12
1875,BNA,NHV,64,71,7,8,40
1875,BNA,NNA,41,71,30,8,38
1875,BNA,PNA,18,71,53,8,20
1875,BNA,PWS,34,71,37,8,31
1875,BNA,CEN,69,71,2,8,12
1875,BNA,SLR,67,71,4,8,15
1875,BNA,SNA,32,71,39,8,29
1875,BNA,WNT,66,71,5,8,23
1875,CNA,BRA,28,30,2,37,42
1875,CNA,BNA,41,30,71,37,8
1875,CNA,CNA,0,30,30,37,37
1875,CNA,HNA,24,30,54,37,28
1875,CNA,WES,29,30,1,37,12
1875,CNA,NHV,23,30,7,37,40
1875,CNA,NNA,0,30,30,37,38
1875,CNA,PNA,23,30,53,37,20
1875,CNA,PWS,7,30,37,37,31
1875,CNA,CEN,28,30,2,37,12
1875,CNA,SLR,26,30,4,37,15
1875,CNA,SNA,9,30,39,37,29
1875,CNA,WNT,25,30,5,37,23
1875,HNA,BRA,52,54,2,28,42
1875,HNA,BNA,17,54,71,28,8
1875,HNA,CNA,24,54,30,28,37
1875,HNA,HNA,0,54,54,28,28
1875,HNA,WES,53,54,1,28,12
1875,HNA,NHV,47,54,7,28,40
1875,HNA,NNA,24,54,30,28,38
1875,HNA,PNA,1,54,53,28,20
1875,HNA,PWS,17,54,37,28,31
1875,HNA,CEN,52,54,2,28,12
1875,HNA,SLR,50,54,4,28,15
1875,HNA,SNA,15,54,39,28,29
1875,HNA,WNT,49,54,5,28,23
1875,WES,BRA,1,1,2,12,42
1875,WES,BNA,70,1,71,12,8
1875,WES,CNA,29,1,30,12,37
1875,WES,HNA,53,1,54,12,28
1875,WES,WES,0,1,1,12,12
1875,WES,NHV,6,1,7,12,40
1875,WES,NNA,29,1,30,12,38
1875,WES,PNA,52,1,53,12,20
1875,WES,PWS,36,1,37,12,31
1875,WES,CEN,1,1,2,12,12
1875,WES,SLR,3,1,4,12,15
1875,WES,SNA,38,1,39,12,29
1875,WES,WNT,4,1,5,12,23
1875,NHV,BRA,5,7,2,40,42
1875,NHV,BNA,64,7,71,40,8
1875,NHV,CNA,23,7,30,40,37
1875,NHV,HNA,47,7,54,40,28
1875,NHV,WES,6,7,1,40,12
1875,NHV,NHV,0,7,7,40,40
1875,NHV,NNA,23,7,30,40,38
1875,NHV,PNA,46,7,53,40,20
1875,NHV,PWS,30,7,37,40,31
1875,NHV,CEN,5,7,2,40,12
1875,NHV,SLR,3,7,4,40,15
1875,NHV,SNA,32,7,39,40,29
1875,NHV,WNT,2,7,5,40,23
1875,NNA,BRA,28,30,2,38,42
1875,NNA,BNA,41,30,71,38,8
1875,NNA,CNA,0,30,30,38,37
1875,NNA,HNA,24,30,54,38,28
1875,NNA,WES,29,30,1,38,12
1875,NNA,NHV,23,30,7,38,40
1875,NNA,NNA,0,30,30,38,38
1875,NNA,PNA,23,30,53,38,20
1875,NNA,PWS,7,30,37,38,31
1875,NNA,CEN,28,30,2,38,12
1875,NNA,SLR,26,30,4,38,15
1875,NNA,SNA,9,30,39,38,29
1875,NNA,WNT,25,30,5,38,23
1875,PNA,BRA,51,53,2,20,42
1875,PNA,BNA,18,53,71,20,8
1875,PNA,CNA,23,53,30,20,37
1875,PNA,HNA,1,53,54,20,28
1875,PNA,WES,52,53,1,20,12
1875,PNA,NHV,46,53,7,20,40
1875,PNA,NNA,23,53,30,20,38
1875,PNA,PNA,0,53,53,20,20
1875,PNA,PWS,16,53,37,20,31
1875,PNA,CEN,51,53,2,20,12
1875,PNA,SLR,49,53,4,20,15
1875,PNA,SNA,14,53,39,20,29
1875,PNA,WNT,48,53,5,20,23
1875,PWS,BRA,35,37,2,31,42
1875,PWS,BNA,34,37,71,31,8
1875,PWS,CNA,7,37,30,31,37
1875,PWS,HNA,17,37,54,31,28
1875,PWS,WES,36,37,1,31,12
1875,PWS,NHV,30,37,7,31,40
1875,PWS,NNA,7,37,30,31,38
1875,PWS,PNA,16,37,53,31,20
1875,PWS,PWS,0,37,37,31,31
1875,PWS,CEN,35,37,2,31,12
1875,PWS,SLR,33,37,4,31,15
1875,PWS,SNA,2,37,39,31,29
1875,PWS,WNT,32,37,5,31,23
1875,CEN,BRA,0,2,2,12,42
1875,CEN,BNA,69,2,71,12,8
1875,CEN,CNA,28,2,30,12,37
1875,CEN,HNA,52,2,54,12,28
1875,CEN,WES,1,2,1,12,12
1875,CEN,NHV,5,2,7,12,40
1875,CEN,NNA,28,2,30,12,38
1875,CEN,PNA,51,2,53,12,20
1875,CEN,PWS,35,2,37,12,31
1875,CEN,CEN,0,2,2,12,12
1875,CEN,SLR,2,2,4,12,15
1875,CEN,SNA,37,2,39,12,29
1875,CEN,WNT,3,2,5,12,23
1875,SLR,BRA,2,4,2,15,42
1875,SLR,BNA,67,4,71,15,8
1875,SLR,CNA,26,4,30,15,37
1875,SLR,HNA,50,4,54,15,28
1875,SLR,WES,3,4,1,15,12
1875,SLR,NHV,3,4,7,15,40
1875,SLR,NNA,26,4,30,15,38
1875,SLR,PNA,49,4,53,15,20
1875,SLR,PWS,33,4,37,15,31
1875,SLR,CEN,2,4,2,15,12
1875,SLR,SLR,0,4,4,15,15
1875,SLR,SNA,35,4,39,15,29
1875,SLR,WNT,1,4,5,15,23
1875,SNA,BRA,37,39,2,29,42
1875,SNA,BNA,32,39,71,29,8
1875,SNA,CNA,9,39,30,29,37
1875,SNA,HNA,15,39,54,29,28
1875,SNA,WES,38,39,1,29,12
1875,SNA,NHV,32,39,7,29,40
1875,SNA,NNA,9,39,30,29,38
1875,SNA,PNA,14,39,53,29,20
1875,SNA,PWS,2,39,37,29,31
1875,SNA,CEN,37,39,2,29,12
1875,SNA,SLR,35,39,4,29,15
1875,SNA,SNA,0,39,39,29,29
1875,SNA,WNT,34,39,5,29,23
1875,WNT,BRA,3,5,2,23,42
1875,WNT,BNA,66,5,71,23,8
1875,WNT,CNA,25,5,30,23,37
1875,WNT,HNA,49,5,54,23,28
1875,WNT,WES,4,5,1,23,12
1875,WNT,NHV,2,5,7,23,40
1875,WNT,NNA,25,5,30,23,38
1875,WNT,PNA,48,5,53,23,20
1875,WNT,PWS,32,5,37,23,31
1875,WNT,CEN,3,5,2,23,12
1875,WNT,SLR,1,5,4,23,15
1875,WNT,SNA,34,5,39,23,29
1875,WNT,WNT,0,5,5,23,23
1876,ATL,ATL,0,39,39,31,31
1876,ATL,CHC,13,39,52,31,14
1876,ATL,CNR,30,39,9,31,56
1876,ATL,HAR,8,39,47,31,21
1876,ATL,LGR,9,39,30,31,36
1876,ATL,NYU,18,39,21,31,35
1876,ATL,ATH,25,39,14,31,45
1876,ATL,SBS,6,39,45,31,19
1876,CHC,ATL,13,52,39,14,31
1876,CHC,CHC,0,52,52,14,14
1876,CHC,CNR,43,52,9,14,56
1876,CHC,HAR,5,52,47,14,21
1876,CHC,LGR,22,52,30,14,36
1876,CHC,NYU,31,52,21,14,35
1876,CHC,ATH,38,52,14,14,45
1876,CHC,SBS,7,52,45,14,19
1876,CNR,ATL,30,9,39,56,31
1876,CNR,CHC,43,9,52,56,14
1876,CNR,CNR,0,9,9,56,56
1876,CNR,HAR,38,9,47,56,21
1876,CNR,LGR,21,9,30,56,36
1876,CNR,NYU,12,9,21,56,35
1876,CNR,ATH,5,9,14,56,45
1876,CNR,SBS,36,9,45,56,19
1876,HAR,ATL,8,47,39,21,31
1876,HAR,CHC,5,47,52,21,14
1876,HAR,CNR,38,47,9,21,56
1876,HAR,HAR,0,47,47,21,21
1876,HAR,LGR,17,47,30,21,36
1876,HAR,NYU,26,47,21,21,35
1876,HAR,ATH,33,47,14,21,45
1876,HAR,SBS,2,47,45,21,19
1876,LGR,ATL,9,30,39,36,31
1876,LGR,CHC,22,30,52,36,14
1876,LGR,CNR,21,30,9,36,56
1876,LGR,HAR,17,30,47,36,21
1876,LGR,LGR,0,30,30,36,36
1876,LGR,NYU,9,30,21,36,35
1876,LGR,ATH,16,30,14,36,45
1876,LGR,SBS,15,30,45,36,19
1876,NYU,ATL,18,21,39,35,31
1876,NYU,CHC,31,21,52,35,14
1876,NYU,CNR,12,21,9,35,56
1876,NYU,HAR,26,21,47,35,21
1876,NYU,LGR,9,21,30,35,36
1876,NYU,NYU,0,21,21,35,35
1876,NYU,ATH,7,21,14,35,45
1876,NYU,SBS,24,21,45,35,19
1876,ATH,ATL,25,14,39,45,31
1876,ATH,CHC,38,14,52,45,14
1876,ATH,CNR,5,14,9,45,56
1876,ATH,HAR,33,14,47,45,21
1876,ATH,LGR,16,14,30,45,36
1876,ATH,NYU,7,14,21,45,35
1876,ATH,ATH,0,14,14,45,45
1876,ATH,SBS,31,14,45,45,19
1876,SBS,ATL,6,45,39,19,31
1876,SBS,CHC,7,45,52,19,14
1876,SBS,CNR,36,45,9,19,56
1876,SBS,HAR,2,45,47,19,21
1876,SBS,LGR,15,45,30,19,36
1876,SBS,NYU,24,45,21,19,35
1876,SBS,ATH,31,45,14,19,45
1876,SBS,SBS,0,45,45,19,19
